number,start,end,dots,V1,V2,V3,V4,V5
1,1,2,2,1,2,NA,NA,NA
2,1,3,3,1,3,2,NA,NA
3,1,4,2,1,4,NA,NA,NA
4,1,5,2,1,5,NA,NA,NA
5,1,7,3,1,7,4,NA,NA
6,1,9,3,1,9,5,NA,NA
7,1,10,4,1,NA,2,3,NA
8,1,11,4,1,NA,4,7,NA
9,1,12,4,1,NA,5,9,NA
10,1,17,1,1,NA,NA,NA,NA
11,1,18,1,1,NA,NA,NA,NA
12,1,19,1,1,NA,NA,NA,NA
13,1,20,1,1,NA,NA,NA,NA
14,1,21,1,1,NA,NA,NA,NA
15,2,1,2,2,1,NA,NA,NA
16,2,3,2,2,3,NA,NA,NA
17,2,4,2,2,4,NA,NA,NA
18,2,5,2,2,5,NA,NA,NA
19,2,6,2,2,6,NA,NA,NA
20,2,8,3,2,8,5,NA,NA
21,2,10,3,2,NA,3,NA,NA
22,2,14,4,2,NA,5,8,NA
23,2,16,3,2,NA,4,NA,NA
24,2,18,3,2,NA,1,NA,NA
25,2,20,1,2,NA,NA,NA,NA
26,2,21,1,2,NA,NA,NA,NA
27,2,22,1,2,NA,NA,NA,NA
28,2,25,3,2,NA,6,NA,NA
29,3,1,3,3,1,2,NA,NA
30,3,2,2,3,2,NA,NA,NA
31,3,5,2,3,5,NA,NA,NA
32,3,6,2,3,6,NA,NA,NA
33,3,7,3,3,7,5,NA,NA
34,3,9,3,3,9,6,NA,NA
35,3,10,1,3,NA,NA,NA,NA
36,3,13,4,3,NA,6,9,NA
37,3,15,4,3,NA,5,7,NA
38,3,18,4,3,NA,1,2,NA
39,3,21,1,3,NA,NA,NA,NA
40,3,22,1,3,NA,NA,NA,NA
41,3,23,1,3,NA,NA,NA,NA
42,3,24,1,3,NA,NA,NA,NA
43,4,1,2,4,1,NA,NA,NA
44,4,2,2,4,2,NA,NA,NA
45,4,5,2,4,5,NA,NA,NA
46,4,6,3,4,6,5,NA,NA
47,4,7,2,4,7,NA,NA,NA
48,4,8,2,4,8,NA,NA,NA
49,4,11,3,4,NA,7,NA,NA
50,4,13,3,4,NA,8,NA,NA
51,4,16,1,4,NA,NA,NA,NA
52,4,17,1,4,NA,NA,NA,NA
53,4,18,1,4,NA,NA,NA,NA
54,4,20,3,4,NA,1,NA,NA
55,4,22,3,4,NA,2,NA,NA
56,4,24,4,4,NA,5,6,NA
57,5,1,2,5,1,NA,NA,NA
58,5,2,2,5,2,NA,NA,NA
59,5,3,2,5,3,NA,NA,NA
60,5,4,2,5,4,NA,NA,NA
61,5,6,2,5,6,NA,NA,NA
62,5,7,2,5,7,NA,NA,NA
63,5,8,2,5,8,NA,NA,NA
64,5,9,2,5,9,NA,NA,NA
65,5,12,3,5,NA,9,NA,NA
66,5,14,3,5,NA,8,NA,NA
67,5,15,3,5,NA,7,NA,NA
68,5,17,3,5,NA,4,NA,NA
69,5,19,3,5,NA,1,NA,NA
70,5,21,3,5,NA,2,NA,NA
71,5,23,3,5,NA,3,NA,NA
72,5,24,3,5,NA,6,NA,NA
73,6,2,2,6,2,NA,NA,NA
74,6,3,2,6,3,NA,NA,NA
75,6,4,3,6,4,5,NA,NA
76,6,5,2,6,5,NA,NA,NA
77,6,8,2,6,8,NA,NA,NA
78,6,9,2,6,9,NA,NA,NA
79,6,10,1,6,NA,NA,NA,NA
80,6,11,3,6,NA,8,NA,NA
81,6,13,3,6,NA,9,NA,NA
82,6,17,4,6,NA,4,5,NA
83,6,20,3,6,NA,2,NA,NA
84,6,22,3,6,NA,3,NA,NA
85,6,24,1,6,NA,NA,NA,NA
86,6,25,1,6,NA,NA,NA,NA
87,7,1,3,7,1,4,NA,NA
88,7,3,3,7,3,5,NA,NA
89,7,4,2,7,4,NA,NA,NA
90,7,5,2,7,5,NA,NA,NA
91,7,8,2,7,8,NA,NA,NA
92,7,9,3,7,9,8,NA,NA
93,7,11,1,7,NA,NA,NA,NA
94,7,14,1,7,NA,NA,NA,NA
95,7,15,1,7,NA,NA,NA,NA
96,7,16,1,7,NA,NA,NA,NA
97,7,17,1,7,NA,NA,NA,NA
98,7,20,4,7,NA,1,4,NA
99,7,23,4,7,NA,3,5,NA
100,7,25,4,7,NA,8,9,NA
101,8,2,3,8,2,5,NA,NA
102,8,4,2,8,4,NA,NA,NA
103,8,5,2,8,5,NA,NA,NA
104,8,6,2,8,6,NA,NA,NA
105,8,7,2,8,7,NA,NA,NA
106,8,9,2,8,9,NA,NA,NA
107,8,10,3,8,NA,6,NA,NA
108,8,11,1,8,NA,NA,NA,NA
109,8,13,1,8,NA,NA,NA,NA
110,8,14,1,8,NA,NA,NA,NA
111,8,16,3,8,NA,7,NA,NA
112,8,18,3,8,NA,4,NA,NA
113,8,21,4,8,NA,2,5,NA
114,8,25,3,8,NA,9,NA,NA
115,9,1,3,9,1,5,NA,NA
116,9,3,3,9,3,6,NA,NA
117,9,5,2,9,5,NA,NA,NA
118,9,6,2,9,6,NA,NA,NA
119,9,7,3,9,7,8,NA,NA
120,9,8,2,9,8,NA,NA,NA
121,9,12,1,9,NA,NA,NA,NA
122,9,13,1,9,NA,NA,NA,NA
123,9,14,1,9,NA,NA,NA,NA
124,9,16,4,9,NA,7,8,NA
125,9,19,4,9,NA,1,5,NA
126,9,22,4,9,NA,3,6,NA
127,9,24,1,9,NA,NA,NA,NA
128,9,25,1,9,NA,NA,NA,NA
129,10,1,4,NA,1,2,3,NA
130,10,2,3,NA,2,3,NA,NA
131,10,3,2,NA,3,NA,NA,NA
132,10,6,2,NA,6,NA,NA,NA
133,10,8,3,NA,8,6,NA,NA
134,10,11,4,NA,NA,6,8,NA
135,10,12,4,NA,NA,24,25,NA
136,10,18,5,NA,NA,1,2,3
137,10,22,2,NA,NA,NA,NA,NA
138,10,23,2,NA,NA,NA,NA,NA
139,10,24,2,NA,NA,NA,NA,NA
140,10,25,3,NA,NA,24,NA,NA
141,11,1,4,NA,1,4,7,NA
142,11,4,3,NA,4,7,NA,NA
143,11,6,3,NA,6,8,NA,NA
144,11,7,2,NA,7,NA,NA,NA
145,11,8,2,NA,8,NA,NA,NA
146,11,10,4,NA,NA,6,8,NA
147,11,12,4,NA,NA,14,13,NA
148,11,13,3,NA,NA,14,NA,NA
149,11,14,2,NA,NA,NA,NA,NA
150,11,15,2,NA,NA,NA,NA,NA
151,11,16,2,NA,NA,NA,NA,NA
152,11,20,5,NA,NA,1,4,7
153,12,1,4,NA,1,5,9,NA
154,12,5,3,NA,5,9,NA,NA
155,12,9,2,NA,9,NA,NA,NA
156,12,10,4,NA,NA,24,25,NA
157,12,11,4,NA,NA,14,13,NA
158,12,14,3,NA,NA,13,NA,NA
159,12,15,5,NA,NA,11,14,13
160,12,19,5,NA,NA,1,5,9
161,12,23,5,NA,NA,10,24,25
162,12,24,3,NA,NA,25,NA,NA
163,12,25,2,NA,NA,NA,NA,NA
164,13,3,4,NA,3,6,9,NA
165,13,4,3,NA,4,8,NA,NA
166,13,6,3,NA,6,9,NA,NA
167,13,8,2,NA,8,NA,NA,NA
168,13,9,2,NA,9,NA,NA,NA
169,13,11,3,NA,NA,14,NA,NA
170,13,14,2,NA,NA,NA,NA,NA
171,13,15,4,NA,NA,11,14,NA
172,13,18,4,NA,NA,4,8,NA
173,13,22,5,NA,NA,3,6,9
174,13,25,2,NA,NA,NA,NA,NA
175,14,2,4,NA,2,5,8,NA
176,14,5,3,NA,5,8,NA,NA
177,14,7,2,NA,7,NA,NA,NA
178,14,8,2,NA,8,NA,NA,NA
179,14,9,2,NA,9,NA,NA,NA
180,14,11,2,NA,NA,NA,NA,NA
181,14,12,3,NA,NA,13,NA,NA
182,14,13,2,NA,NA,NA,NA,NA
183,14,15,3,NA,NA,11,NA,NA
184,14,17,3,NA,NA,7,NA,NA
185,14,21,5,NA,NA,2,5,8
186,14,24,3,NA,NA,9,NA,NA
187,15,3,4,NA,3,5,7,NA
188,15,5,3,NA,5,7,NA,NA
189,15,7,2,NA,7,NA,NA,NA
190,15,11,2,NA,NA,NA,NA,NA
191,15,12,5,NA,NA,11,14,13
192,15,13,4,NA,NA,11,14,NA
193,15,14,3,NA,NA,11,NA,NA
194,15,16,2,NA,NA,NA,NA,NA
195,15,17,3,NA,NA,16,NA,NA
196,15,18,4,NA,NA,17,16,NA
197,15,19,5,NA,NA,18,17,16
198,15,23,5,NA,NA,3,5,7
199,16,2,3,NA,2,4,NA,NA
200,16,4,2,NA,4,NA,NA,NA
201,16,7,2,NA,7,NA,NA,NA
202,16,8,3,NA,8,7,NA,NA
203,16,9,4,NA,9,7,8,NA
204,16,11,2,NA,NA,NA,NA,NA
205,16,15,2,NA,NA,NA,NA,NA
206,16,17,2,NA,NA,NA,NA,NA
207,16,18,3,NA,NA,17,NA,NA
208,16,19,4,NA,NA,18,17,NA
209,16,22,4,NA,NA,2,4,NA
210,16,25,5,NA,NA,7,8,9
211,17,1,2,NA,1,NA,NA,NA
212,17,4,2,NA,4,NA,NA,NA
213,17,5,3,NA,5,4,NA,NA
214,17,6,4,NA,6,4,5,NA
215,17,7,2,NA,7,NA,NA,NA
216,17,14,3,NA,NA,7,NA,NA
217,17,15,3,NA,NA,16,NA,NA
218,17,16,2,NA,NA,NA,NA,NA
219,17,18,2,NA,NA,NA,NA,NA
220,17,19,3,NA,NA,18,NA,NA
221,17,21,3,NA,NA,1,NA,NA
222,17,24,5,NA,NA,4,5,6
223,18,1,2,NA,1,NA,NA,NA
224,18,2,3,NA,2,1,NA,NA
225,18,3,4,NA,3,1,2,NA
226,18,4,2,NA,4,NA,NA,NA
227,18,8,3,NA,8,4,NA,NA
228,18,10,5,NA,NA,1,2,3
229,18,13,4,NA,NA,4,8,NA
230,18,15,4,NA,NA,17,16,NA
231,18,16,3,NA,NA,17,NA,NA
232,18,17,2,NA,NA,NA,NA,NA
233,18,19,2,NA,NA,NA,NA,NA
234,18,20,2,NA,NA,NA,NA,NA
235,19,1,2,NA,1,NA,NA,NA
236,19,5,3,NA,5,1,NA,NA
237,19,9,4,NA,9,1,5,NA
238,19,12,5,NA,NA,1,5,9
239,19,15,5,NA,NA,18,17,16
240,19,16,4,NA,NA,18,17,NA
241,19,17,3,NA,NA,18,NA,NA
242,19,18,2,NA,NA,NA,NA,NA
243,19,20,2,NA,NA,NA,NA,NA
244,19,21,3,NA,NA,20,NA,NA
245,19,22,4,NA,NA,20,21,NA
246,19,23,5,NA,NA,20,21,22
247,20,1,2,NA,1,NA,NA,NA
248,20,2,2,NA,2,NA,NA,NA
249,20,4,3,NA,4,1,NA,NA
250,20,6,3,NA,6,2,NA,NA
251,20,7,4,NA,7,1,4,NA
252,20,11,5,NA,NA,1,4,7
253,20,18,2,NA,NA,NA,NA,NA
254,20,19,2,NA,NA,NA,NA,NA
255,20,21,2,NA,NA,NA,NA,NA
256,20,22,3,NA,NA,21,NA,NA
257,20,23,4,NA,NA,21,22,NA
258,20,25,4,NA,NA,2,6,NA
259,21,1,2,NA,1,NA,NA,NA
260,21,2,2,NA,2,NA,NA,NA
261,21,3,2,NA,3,NA,NA,NA
262,21,5,3,NA,5,2,NA,NA
263,21,8,4,NA,8,2,5,NA
264,21,14,5,NA,NA,2,5,8
265,21,17,3,NA,NA,1,NA,NA
266,21,19,3,NA,NA,20,NA,NA
267,21,20,2,NA,NA,NA,NA,NA
268,21,22,2,NA,NA,NA,NA,NA
269,21,23,3,NA,NA,22,NA,NA
270,21,24,3,NA,NA,3,NA,NA
271,22,2,2,NA,2,NA,NA,NA
272,22,3,2,NA,3,NA,NA,NA
273,22,4,3,NA,4,2,NA,NA
274,22,6,3,NA,6,3,NA,NA
275,22,9,4,NA,9,3,6,NA
276,22,10,2,NA,NA,NA,NA,NA
277,22,13,5,NA,NA,3,6,9
278,22,16,4,NA,NA,2,4,NA
279,22,19,4,NA,NA,20,21,NA
280,22,20,3,NA,NA,21,NA,NA
281,22,21,2,NA,NA,NA,NA,NA
282,22,23,2,NA,NA,NA,NA,NA
283,23,3,2,NA,3,NA,NA,NA
284,23,5,3,NA,5,3,NA,NA
285,23,7,4,NA,7,3,5,NA
286,23,10,2,NA,NA,NA,NA,NA
287,23,12,5,NA,NA,10,24,25
288,23,15,5,NA,NA,3,5,7
289,23,19,5,NA,NA,20,21,22
290,23,20,4,NA,NA,21,22,NA
291,23,21,3,NA,NA,22,NA,NA
292,23,22,2,NA,NA,NA,NA,NA
293,23,24,3,NA,NA,10,NA,NA
294,23,25,4,NA,NA,10,24,NA
295,24,3,2,NA,3,NA,NA,NA
296,24,4,4,NA,4,5,6,NA
297,24,5,3,NA,5,6,NA,NA
298,24,6,2,NA,6,NA,NA,NA
299,24,9,2,NA,9,NA,NA,NA
300,24,10,2,NA,NA,NA,NA,NA
301,24,12,3,NA,NA,25,NA,NA
302,24,14,3,NA,NA,9,NA,NA
303,24,17,5,NA,NA,4,5,6
304,24,21,3,NA,NA,3,NA,NA
305,24,23,3,NA,NA,10,NA,NA
306,24,25,2,NA,NA,NA,NA,NA
307,25,2,3,NA,2,6,NA,NA
308,25,6,2,NA,6,NA,NA,NA
309,25,7,4,NA,7,8,9,NA
310,25,8,3,NA,8,9,NA,NA
311,25,9,2,NA,9,NA,NA,NA
312,25,10,3,NA,NA,24,NA,NA
313,25,12,2,NA,NA,NA,NA,NA
314,25,13,2,NA,NA,NA,NA,NA
315,25,16,5,NA,NA,7,8,9
316,25,20,4,NA,NA,2,6,NA
317,25,23,4,NA,NA,10,24,NA
318,25,24,2,NA,NA,NA,NA,NA